职位名称,薪资,工作地点,公司名称,任职要求,学历要求,招聘人数,发布时间
北碚.无试用期不外出的销售顾问（提供资源，接受小白）,5000-10000元,重庆北碚区,阳光财产保险股份有限公司6,"工作时间：早9晚6：30 周末大小休 法定节假日照常带薪休假
发薪日：每个月固定10号 如遇到节假日提前发放
岗位职责：
1) 公司提供稳定且优质的客户资源，通过电脑智能外呼系统联系客户，进行车险续期业务的开展；
2) 5A级室内办公环境，全天空调，环境优美，无需外出，无需资源；
3) 产品是车险！属于刚需！公司提供稳定且优质资源！销售难度低！收入稳定！
任职要求：
1) 18周岁-40周岁；
2) 具有一定沟通表达能力，会讲普通话，有亲和力；
3) 勤奋踏实，能长期做；
4) 反应灵敏，具有一定表达能力，同时具备一定抗压能力；
5) 身体健康。
薪资：
1) 岗前培训期：面试通过后参加6个工作日的培训，享受新人培训礼50元/天；
2) 在岗任职期：职级底薪+职级津贴+高业绩提奖，月均6000元-15000元，上不封顶。
福利：
1)签订集团正式劳动合同（无外包、无派遣）；
2)享有社保和公积金（五险一金）；
3)无需外出自己找资源、每个人资源都不会与别人重复，定向一对一跟进；
4)5A级办公环境，室内办公（环境优美）；
5)正常行政班（无夜班无倒班、不外派出差）；
6)完善的培训体系，每三个月就有一次升职加薪；
7)丰厚的年终奖金、绩效奖金；
8)定期举办丰富的团建活动；
9)全年七个法定节假日，29天带薪假期（年假、婚假、病假、产假）；
10)七大节日福利（元旦、春节、元宵、中秋、端午、三八节、儿童节）、生日福利；
11)长期服务奖最高6000元/年，父母赡养津贴最高6000元/年，星光奖最高9600元/年；
没有经验没关系！！！我们没有试用期的！ 面试通过后会有为期6个工作日的带薪培训 培训结业后签订阳光保险集团劳动合同 公司是中国500强企业 我们有完整的培训体系和专业的培训教练 并且有团队主管带！！！",学历不限,5,更新于 12月29日
土建施工管理员,6000-8000元·13薪,襄阳南漳县,龙佰集团股份有限公司,"1、负责项目施工过程中施工进度、施工质量、施工安全、成本控制、物资材料、精益管理等各方面的工作。
2、编制自己所管辖的分项目施工进度计划、材料计划，参与计划审核，确保计划的准确性和合理性。
3、在施工过程中检查施工质量，施工结束后组织相关人员进行施工质量的验收工作；负责项目竣工和试用报告编写。
4、在工程项目施工过程中，控制材料领用、使用、回收；避免遗失、浪费；隐蔽工程及时验收并严格验收数量和质量，保存好证据。
5、负责监督检查安全施工过程，纠正不规范施工及行为，提高安全施工技能，增强事故预防和应急处理能力。
7、编制项目施工计划，组织施工协调；负责项目施工的安全、质量、进度管控，负责物资领用单、派工单、费用签证、施工变更方案、竣工验收资料的办理和初审工作。",本科,1,更新于 1月2日
IT储备工程师(J10505),6000-12000元·13薪,淮安清江浦区,淮安澳洋顺昌光电技术有限公司,"岗位职责:
1、基于业务部门需求，负责公司内部系统的设计及二次开发；
2、收集并梳理业务部门的产品需求，进行可行性分析和概要设计，随时提出产品需求或改进意见；
3、规范管理各系统间的接口标准，根据新增业务需求协调软件厂商进行相应调整；
任职要求:
1、23~25届一类本科以上学历，研究生面议，计算机等相关专业；
2、1年及以上IT工作经验；
3、熟练掌握WinForm程序开发，或ASP.NET Web编程；
4、熟悉C#中网络通讯、多线程、数据库、XML等相关开发技术；
5、熟悉SQL编写，熟悉存储过程编写，熟练使用MS SQL Server；
6、编码规范、高效，有较好的文档编写能力；
7、工作责任心强，做事积极主动，思路清晰，有良好的沟通和团队协作精神。",本科,1,更新于 1月3日
燃气公司回访专员,7000-12000元,武汉江汉区,中国燃气,"任职要求：
(1)学历：中专、高中及以上学历；
(2)经验：1年以上销售经验，有电销、保险等零售行业经验者优先；
(3)技能：
具备良好的沟通表达能力、抗压能力，能主动挖掘客户需求；
熟悉Excel基础操作；
普通话标准，无明显口音。
(4)其他：年龄20-45周岁，可接受弹性工作制（单休）（周末轮班）。",高中,1,更新于 12月11日
核审专员（六险一金/无销售性质）,5000-6000元,淮南田家庵区,招商银行淮南分行,"【工作模式】
银行提供客户名单，我们上门收集相关资料并提交至银行系统。再次强调都是已经办理的客户，无需进行营销。
【岗位要求】
1、32岁以内，大专学历以上，学信网可查
2、专业不限，经验不限，有服务行业工作经验可优先(零售、餐饮、快销、店面销售)
3、遵纪守法，诚实守信，征信良好。
4、有明确的个人目标，较强的责任感以及良好的亲和力。
【薪资标准】
无责底薪+核审提成（无销售成分）综合薪资4~6千
【保险保障】
入职即当月购买五险一金(养老保险、医疗保险、失业保险、工伤保险、生育保险及住房公积金)+高额商业保险
【岗位福利】
节假日、生日慰问、员工周边免费旅游；带薪培训+完整师徒一对一带教体系+带薪年假；免费工作行服；优秀员工表彰，业务精英奖，优秀员工奖，人才推荐奖等等，福利多多，生日礼品，下午茶。司龄礼品，定期旅游或者拓展。
对外社招的是跟招行全资子公司签订合同，派遣到招商银行进行工作。",大专,2,更新于 12月30日
电话催收专员,7000-14000元,重庆两江新区,平安融易(黑龙江)信息服务有限公司重庆第九分公司,"岗位职责
1.负责短期0-29天逾期账户电话沟通，督促还款
2.维持贷后客户关系，让客户养成良好还款习惯
3.客户联系方式查找与相关还款方案制定
4.能吃苦耐劳优先
福利待遇
1，公积金缴费比例高达12%，助你轻松安家!重庆最高基数六险两金。
2，工会活动，生日会，团队建设、兴趣拓展应有尽有!3，夏日清凉饮料、节假日礼金、生日惊喜……超多福利等你解锁!
⚠️该岗位为平安正式编制，入职签订平安正式劳动合同!
员工福利[庆祝][庆祝][庆祝]
降温采暖补贴 生日福利 节日福利 高温补贴 团建聚餐 零食下午茶员工旅游 带薪年假 企业年金",大专,1,更新于 11月19日
工艺研发员-横店 (MJ000091),7000-13000元·13薪,金华东阳市,普洛药业,"岗位描述：
（1）根据组长安排，完成文献的查阅和图谱解析，依据文献完成化合物合成路线的初步设计，并仔细实施。
（2）分析实验中出现的问题，对出现的问题给予及时的解决。
（3）项目相关实验数据收集、整理及分析。
（4）协助组长完成项目转移工作。
（5）项目生产过程与车间技术员进行技术沟通，配合其他部门完成其他相关的工作。
（6）执行所属部门和实验室的安全环保工作。
（7）完成领导交给的其他任务。
岗位要求：
（1）具有良好的团队合作精神与沟通能力。
（2）熟练掌握文献检索手段，能顺利阅读英文资料。
（3）本科及以上学历，化学或化工相关专业毕业；有相关化学合成相关工作经验，或有一定的中试生产经验。
（4）能够接受出差。",学历不限,176,更新于 12月24日
养猪技术员（配怀、产房、保育育肥）,5000-8000元,潍坊诸城市,新希望六和,"育肥技术员：7-8k，4名，学历不限，45岁以下，一年以上育肥经验；
配怀/产房技术员：5-8k，4名，学历不限，45岁以下，一年以上母猪经验。",学历不限,5,更新于 12月17日
销售员,6000-12000元,乌鲁木齐天山区,冰山冷热科技股份有限公司,"岗位职责：
1.客户信息收集、报备；策划制定项目方案与报价；
2.合同签订与合同评审；协调收货与货款回收；
3.完成公司下达年度订货指标。
任职要求：
1.本科学历，制冷与低温工程、热能与动力工程、机械设计制造及其自动化、过程装备控制与工程、暖通空调、建筑环境与设备工程等相关专业；
2.有事业心、责任心；
3.沟通协调能力强，适应出差；
薪资面议（工资+绩效奖金）",本科,3,更新于 11月18日
海底捞火锅高薪急招配菜打荷长期工、钟点工,4000-8000元,鞍山铁东区,杭州捞派餐饮有限公司第三十九分公司,"一、【招聘岗位】
门迎、传菜员、后厨、保洁、洗碗工、水台等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
海底捞全勤实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。",学历不限,5,更新于 12月27日
生产储备干部,7000-10000元,潍坊寒亭区,山东潍坊润丰化工股份有限公司,"岗位职责：
1. 负责农化行业生产车间的管理和运营工作
2. 参与生产计划的制定和执行，确保生产目标的达成
3. 负责生产过程的优化，提高生产效率和产品质量
4. 监督生产设备的运行状况，确保设备安全高效运行
岗位要求：
1. 化工、设备、工业工程、农学植保等相关专业毕业
2. 英语四级，具备一定的英语阅读和沟通能力
3. 有良好的团队合作精神和沟通协调能力
4. 对农化行业有一定了解，有相关工作经验者优先",本科,48,更新于 11月16日
京东方直招生产储备干部,5000-8000元,合肥瑶海区,京东方科技集团股份有限公司,"储备干部：生产组长、生产班长、
工作内容：车间基层管理层人员
发展方向：组长--班长；技术通道：技术工人岗--设备助理工程师--工程师
【工作内容】：
前期的话我们有实操和培训，实操需要在产线上进行轮岗。并且公司会安排生产培训，生产安全培训。后期转正。
前期主要工作内容为：产品质检，产品投料。负责日常生产管理。
要求：
1：能够接受工厂工作环境和工作模式
2：吃苦耐劳，岗位属于车间内部岗位
3：管理生产线需要机灵，稳重，灵活
4：愿意学习，接受工厂安排的培训，车间线上的学习轮岗等
工资情况：
1：前期工资5000-6500，每年有涨薪
【餐食自由】：津贴：入职即享700-900元/月餐补，厂区食堂、超市、奶茶店通用，吃得饱更吃得好。
【安居乐业保障】：
面试当天免费安排临时住宿，正式宿舍4人间，环境优。
合肥市内提供免费通勤班车。
工作日加班1.5倍工资，法定节假日3倍工资，夜班额外补助35-50元/天。
“国企温暖”关怀：
节假日工会礼品、生日贺金、结婚贺金、丧葬慰问金。
免费发放工衣及劳保用品。
定期组织文体活动、聚餐联欢。
【任职要求 】
年龄18-40周岁，身体健康。
不限学历，不限经验，零基础可报名。
我们提供岗前培训，助您快速上手。
【工作时间 · 合规透明】
综合工时制，上六休一/上六休二，月休4天左右（根据生产计划调节）。
国企规范，加班工时严格按照国家法律规定执行并支付报酬，保障您的合法权益。
【招聘声明 · 郑重承诺】
本招聘由京东方(BOE)厂区人事部直接发起，绝无任何第三方中介介入！
我们承诺：绝不收取任何形式的报名费、中介费、押金、体检费！
如果您感兴趣，欢迎直接与我沟通直接电话联 系或点击报名我会第一时间为您安排",初中及以下,1,更新于 11月15日
短视频拍摄剪辑师,6000-8000元,西安灞桥区,宋城演艺,"岗位职责
1、根据品牌定位与目标受众喜好，提供接地气且具可行性的内容创意，完成短视频脚本的撰写，确保内容贴近生活、能吸引大众关注
2、负责具体的拍摄工作，熟练操作常见拍摄设备。依据拍摄方案，完成拍摄场景的实地布置，精准进行拍摄构图、光线调节与运镜，保障拍摄素材的质量与数量，满足后期制作基本需求
3、运用简单易用的视频编辑软件，如剪映专业版等，对拍摄素材进行初步选、剪辑
4、协助分析短视频平台数据，关注播放量、点赞数、评论数等指标变化。
任职要求
1.本科及以上学历。影视、传媒、设计等相关专业优先，具备一定的艺术感知能力与学习基础
2.有半年以上短视频制作相关经验，参与过短视频从筹备到发布的部分环节，对短视频制作流程有初步了解
3.具备一定的创意能力，能根据给定主题提出新颖的短视频内容思路，文案撰写能力尚可可编写简单、易懂且有吸引力的短视频脚本大纲
4.熟练掌握常见拍摄设备的操作方法，能够独立完成短视频的拍摄工作，在拍摄构图、光线运用上有基本技巧，拍摄画面稳定、清晰
5.熟练使用至少一种基础视频编辑软件，能进行常规的视频剪辑操作，包括视频片段拼接添加字幕、音乐匹配等，对视频节奏有初步把控能力。",本科,1,更新于 12月17日
品管现场主管(J11293),6000-8000元,南平政和县,福建圣农集团,"岗位职责:
1、公司质量管理体系现场执行与培训；
2、生产现场过程监控，数据统计及记录审核；
3、不合格品及偏差处理；
4、新产品中试跟进，；
5、客诉调查与改善落实；
6、配合完成工厂各项认证、审核工作；
7、现场品控团队管理与培训；
任职要求:
1、大专及以上学历，食品科学、质量管理等相关专业优先；
2、1-3年食品行业品控相关工作经验，至少1年团队管理经验；
3、具备良好的沟通协调能力及团队合作精神；
4、责任心强，工作严谨，具备较强的分析解决问题能力，能独立处理现场相关质量问题，能承受一定的工作压力；",高中,1,更新于 12月24日
数据治理工程师,5000-10000元·14薪,成都武侯区,新疆鑫泰天然气股份有限公司,"1.对集团确定范围的数据进行标准化治理；
2.负责数据仓库架构设计、数据模型设计、ETL流程开发、数据质量控制等相关工作。
3.根据不同业务需求，进行数据挖掘、分析，提供数据支持和业务支持。
4.对数据仓库进行性能优化，提升数据存储效率和查询效率。
5.编写相关技术文档，维护和更新数据仓库相关的技术规范和标准。
6.与相关部门合作，提供数据解决方案和技术支持。
7.持续关注、研究最新的数据技术，对公司业务发展提出建议。
招聘要求：
1.本科及以上学历，计算机、数学、信息化专业；
2.在数据集成、数据标准、数据质量管理、数据模型管理、元数据管理、主数据管理等数据管理领域有深刻理解和重大项目实施经验；
3.熟练应用etl开发工具，如Datatage.Cogno.Kettle等；熟练使用Oracle.DB2.Hive等数据库，有数仓、报表、BI（如永洪.帆软.mart等）、SQL等知识；
4.必备证书：CDMP、CDGA、CDGP至少一个；
5.具有较高的组织协调与沟通、业务理解能力、沟通表达能力、学习能力。
特别说明：目前该岗位Base山西晋城，2027年迁往四川成都，介意者谨慎投递。",本科,1,更新于 12月16日
四小时兼职,7000-9000元,苏州吴中区,叮咚买菜,"单价4-5块钱一单，多劳多得，一小时可以送到7-10单，送达时间不限制，没有超时扣款，可放心面试入职。
兼职时间：上午下午晚上都可以做，只需要一天能工作四小时以上就行，工资隔日结。长期兼职，短期兼职都可以做，这个没要求。
负责送一家店的生鲜蔬菜，零食百货，配送范围门店附近3公里内，日均单量60+，一趟20分钟左右，能带7-10单，日薪300-500
时间：上午、下午、晚上或者全天都行（时间可协商）
【任职要求】
1、18-50岁；男女都可以做
2、会骑电动车，会使用导航
注：门店直招，不收取任何押金费用，0元入职
找你入职要钱的都是骗子，找你入职要钱的都是骗子，找你入职要钱的都是骗子。请认准直招。",学历不限,5,更新于 12月29日
安防管理（25届退伍优先）,6000-8000元,沈阳铁西区,龙湖集团,"岗位职责:
1. 负责维护和提升物业区域的安全与秩序；
2. 组织和执行安全巡查，确保无违法违规行为发生；
3. 监控安全系统，及时处理紧急情况；
4. 制定和实施安全防范措施，提高安全意识；
5. 组织安全教育培训，增强居民的安全意识。
任职要求：
1. 具备良好的沟通能力和服务意识，能够有效处理客户咨询；
2. 有较强的应急处理能力和风险评估能力；
3. 能够独立解决问题，具备良好的团队合作精神；
4. 有责任心，能够严格遵守工作时间和规定。
退伍军人或有安保经验优先，工作地点沈阳市内多个项目就近分配；（铁西、浑南、大东区可就近分配）",高中,1,更新于 今天
三明海底捞包吃住就近分配,5000-8000元,三明三元区,简阳市海捞餐饮管理有限公司开封第一分公司,"一、【招聘岗位】
服务员、门迎、传菜员、后厨、保洁、洗碗工等。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【薪资标准】
三明海底捞全勤综合工资4200-8000元/月，实行计件工资制，多劳多得，入职后门店根据岗位评定初、中、高级员工，包食宿（企业宣讲期间除外）。
四、【正式工福利待遇】
1.正式员工入职经店经理审批同意后，报销家庭地址到工作地的硬座火车票及汽车票；工作满半年公司予以报销办理健康证费用；
2.正式员工可享受带薪年休假；
3.符合条件的员工（夫妻双职工、店经理等）可享有公司提供的住房补贴；
4.凡在公司工作满三年的员工其子女可享受 2000-5000 元/年不等的教育补贴；
5.大堂经理级别员工父母可享受 400 元/月的父母补贴；店经理级别父母可享受 1600 元/月的父母补贴；
6.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展途径】（经竞聘考核后可入职）
途径一：服务员—服务/门迎担当--大堂/后堂/值班经理--店经理；
途径二：职能部门（人力资源部、信息科技部、会员运营部、公共事务部等）。
六、【注意事项】
面试需提供个人身份证原件或身份证明材料。",学历不限,1,更新于 1月1日
商业地产销售精英,6000-12000元,广州天河区,合富辉煌,"岗位职责：
1、按发展商及公司要求提供咨询、介绍、销售工作，完成销售任务；
2、向客户提供优质服务，体现项目及公司的品牌形象及专业素质；
3、定期跟进来访客户，保持客户稳定性；
4、及时向主管反映客户意见及建议，为制定销售策略提供有效信息；
5、跟进成交客户的签约、交款、按揭、售后咨询等工作。
任职要求：
1、大专或以上学历优先；
2、年龄20-35岁，身高160cm以上；
3、形象好，气质佳，性格开朗，责任心强，服务意识良好、较强的表达与沟通能力；
4、普通话流利，能听懂粤语优先；
5、商业地产或黄埔区经验优先。
薪酬范围：综合年薪14至20万元，无责任底薪，佣金点数高，发佣快！
福利：五险一金，带薪年假，项目补贴，项目奖金，年终奖",学历不限,2,更新于 11月11日
外贸业务员,7000-12000元,石家庄裕华区,博深股份有限公司,"岗位内容：
1. 负责存量市场维护，新市场开发及市场信息收集；
2. 负责往来函电，订单管理，报价，发货，收汇等业务相关日常工作；
3. 市场走访、市场调研及客户接待；
4. 负责 客户产品以及产品包装等信息管理维护工作；
5.协助制定营销策略，提高市场占有率。
任职要求：
1. 本科及以上学历，国际贸易，日语，机械，材料类相关专业优先；
2. 有两年以上国际贸易从业经验者优先；
3. 具备较好的沟通、谈判和商务技能；
4. 日语N1，口语熟练，同国外客户交流无障碍，有国外出差机会；",本科,2,更新于 12月10日
南京秦淮急聘4名快递员 五险一金,7000-13000元,南京秦淮区,江苏京邦达供应链科技有限公司,"工作内容：有意向可以线上沟通咨询工作，包住宿，站点区域就近安排全南京就近分配，
一、快递员工作内容：
主要针对于自己负责的区域进行快递配送和快递收取，配送的货物都是中小件1-10公斤范围之内的。
二、职位要求：
1、男女不限，年纪18-50周岁，无案底，会骑车即可
2、会看导航，有同行业工作经验者优先
三、工作时间：
工作时间8:00：00-17：30左右(上午七点左右到站点整理货物，每天两派，一派8：00开始，二派14：00开始、)派送完即可下班（下班时间每天17-18点左右早送完早下班），
四、薪资待遇：
1、每个月30号当月发工资
2、每单1.5-7元不等一件，大促期间2.3-2.5起步，个月工资不低于7000-8000元/月，综合工资8000-13000元月，多劳多得
3、公司缴纳五险一金、全勤、餐补、通讯补贴、防寒防暑补贴、带薪年假、生日节日礼品等。
五、职业发展方向：
站长助理～～站长～～站点管理部～～配送终辅管理部～～区域经理～～大区经理～～片区经理等，
六、工作地址：就近分配",学历不限,1,更新于 11月19日
生产车间技术员（江西）,6000-8000元·13薪,九江彭泽县,扬帆新材料(浙江)股份有限公司,"岗位职责：
1、负责本分厂的项目资料查新收集，项目评价等前期准备及小试实验工作；
2、负责编制项目试生产作业指导书，并实施项目中试，分析解决中试中出现的问
题，编写中试报告；
3、负责新工艺的试生产工作；
4、负责生产工艺、安全技术、岗位操作规程的编写；
5、负责组织技术研讨、提出改进方案，工艺变更申请等；
6、参与分厂日常生产管理工作。
任职要求：
1、本科及以上学历，化工类相关专业；
2、具有有机合成实验工作经验，能独立查找相关项目技术资料，设计实验方案，编制试制计划，项目总结，提供项目成本的能力；
3、具备较强的执行力及语言沟通表达能力；
4、熟练使用电脑及相关办公软件。",本科,3,更新于 12月30日
双休，六险一金，不坐班,6000-12000元,廊坊固安县,中国平安人寿保险股份有限公司河北分公司2,"岗位招满即停大专学历及以上
25-45周岁大专学历学信网可查
世界五百强完善的晋升培训体系企业文化:
我们固定周末双休，我们适合喜欢做服务，而又不想有太多工作压力的人，同时对于有晋升欲望、有赚钱欲望的人，我们也给予充足的空间。人性化工作时间。
福利待遇:工资构成
1、基础无责底薪+提成+新人津贴，综合薪资6-25k
2、缴纳社保:六险一金，除正常的五险一金公司还会给员工上一份团险。",大专,99,更新于 11月10日
铁氧体永磁材料研发工程师,7000-14000元,金华东阳市,横店东磁,"任职要求：
1.具备通过SEM、XRD、TEM等方法分析材料微观组织、相变的科研经历；具备良好的样品制备、数据采集、数据处理及数据分析能力；具备前沿科研文献的搜索、下载及学习能力；熟悉origin、photoshop等科研工具软件；
2.材料学、材料物理化学、材料加工及粉末冶金领域的相关基础、专业知识
要求具备陶瓷或相近领域的研究经历；
3.研态度严谨，有创新思想，有较强的学习能力、计划执行能力及沟通交流能力。
岗位职责：
1.负责实验任务的开展；
2.负责试验数据处理；
3.负责实验报告的撰写；
4.完成上级交代的任务。",硕士,1,更新于 12月12日
理财经理（长江证券广州林和西路营业部）,4000-8000元,广州天河区,,"岗位：理财经理
一、职位要求：
（1）取得一般证券业务执业资格、基金从业资格。
（2）本科（含）以上学历。
（3）有市场营销、客户服务或金融从业经验。
（4）40岁以下。
（5）有良好的沟通能力和团队合作精神。
（6）有较好的口头表达能力和产品推广能力。
（7）诚实守信、有强烈的责任心和良好的职业道德操守。
二、岗位职责：
（一）负责客户开发工作；
（二）负责向客户推介公司的各项产品；
（三）根据公司分级分类服务流程和规范，负责个人名下客户的服务工作；
（四）负责个人名下客户的信息维护；
（五）积极参加公司和营业部组织的各项营销活动，服从管理和工作分配；
（六）完成营业部交办的其他事项。",本科,1,更新于 11月7日
有点枯燥 但待遇超好 可实习 7000+,5000-10000元,合肥包河区,合肥泰盈信息科技有限公司,"工作内容：主要是银行后台岗位，没做过，没经验都没有关系，我们无需外出，办公室吹吹空调
工作时间：早九晚六，休6天、法定假日正常休息。
薪资待遇：新人4500~7000．转正6000-8000．高薪10000+，五险一金，节日福利
职位要求：
1．会一些基本电脑操作
2．有相关经验者优先。（经验不是硬性要求，只要你足够自信、大方）",中专/中技,10,更新于 12月15日
学术代表）（上市公司 五险一金 双休）,7000-14000元,塔城塔城市,先声药业,"【岗位职责】
1、负责相关领域的产品在区域内的医药信息沟通工作；
2、熟练掌握产品知识，及时、准确地为客户提供最新医学研究进展及学术动态，与客户建立信任和合作；
3、洞察市场及目标客户需求，及时收集并反馈产品和相关的市场信息；
4、协助组织、开展各类学术沟通活动，为客户提供专业化服务和咨询，用心服务；
5、具备较好的专业学习能力、良好的人际沟通和服务能力及抗挫折能力。
【任职要求】
1、本科及以上学历，医药相关专业背景；
2、具有较强的学术与专业营销的能力，良好的人际沟通与表达能力；
3、性格开朗，热爱医药推广工作，责任心强，认可公司的核心价值观。",本科,5,更新于 12月20日
招聘专员,6000-8000元,北京通州区,深圳市朗坤科技股份有限公司,"岗位内容：
1. 负责编写和发布招聘信息，筛选简历并进行初步面试
2. 组织各类校园招聘、宣讲会等活动，并做好后续跟进工作
3. 搜集、整理和分析用人需求和市场薪酬情况
4. 协助上级领导做好年度人力资源计划
任职要求：
1. 本科以上学历，人力资源管理、心理学等相关专业优先考虑
2. 具备良好的沟通能力、人际关系处理能力和数据分析能力
3. 熟练使用各种招聘平台和工具，熟悉招聘流程和法律法规
4. 有较强的组织协调能力和时间管理能力",本科,1,更新于 11月8日
育肥技术员,6000-8000元,黔东南施秉县,新希望六和,"岗位职责：
1. 负责规模化养殖场保育/育肥工段的生猪养殖工作；
2. 负责猪只日常饲喂、栋舍环境卫生、防疫及生物安全防控工作，保健及免疫；对育肥猪生长和健康情况进行观测记录，并按要求进行保健和免疫工作操作；
3. 猪只销售后，圈舍栏位冲洗消毒、刷栏直至栏位验收合格；
岗位要求：
1. 性别不限，55岁以下
2. 学历不限；有养猪经验者优先；无养猪经验，喜欢从事养殖业者，入职后有在职员工带教；
3. 有经济压力、家庭重担优先；追求长期且稳定的工作，频繁跳槽者勿扰；
4. 工作踏实耐心，能严格遵守猪场的规章制度和生物安全要求；
5. 身体健康，接受封闭性工作环境，规模化养殖场工作经验优先；
6. 每两月带薪休假8-10天。
岗位优势：
1.包吃包住，带薪休假（两个月带薪休假 8-10 天），带薪年假，免费工作服，免费生活用品提供，买五险，年收入8-10万
2.中年人优势：收入稳定，包吃包住，能存下钱，适合养家糊口，为子女攒钱，年收入8-10万
3.年轻人优势：环境单纯，有成长空间，无通勤成本，工资基本能存下来
4.夫妻工优势：稳定性极高，能互相照顾，提供夫妻房，夫妻工年薪合计可达 16-20万",学历不限,10,更新于 12月30日
营销管培生,5000-10000元,青岛黄岛区,青岛康大集团,"食品生产制造业，快销品，TO B模式
岗位职责
1、市场调研与分析
市场动态监测：密切关注食品行业的发展趋势、市场变化和竞争对手动态，收集和分析市场信息，包括消费者需求、消费习惯、市场规模、市场份额等，为公司营销决策提供数据支持和参考依据。
竞品分析：深入研究竞争对手的产品特点、价格策略、销售渠道、促销活动和市场表现，找出其优势和不足，挖掘公司产品差异化竞争的机会点，制定针对性的竞争策略，提升公司产品在市场中的竞争力。
2、销售目标达成
销售任务分解与跟进：根据公司销售目标，协助将销售任务分解到各个区域、渠道和产品，制定详细的销售计划和目标达成的考核指标，定期跟进销售进度，分析销售数据，及时发现销售过程中存在的问题和偏差，采取有效措施加以调整和改进，确保销售目标的顺利实现。
销售团队支持：与销售团队密切合作，为销售人员提供市场信息、营销策略、产品知识等方面的培训和指导，协助销售人员制定销售策略和计划，提供销售工具和推广物料支持，如宣传册、海报、样品等，帮助销售人员提升销售技能和业绩，同时激励销售团队，营造积极向上的销售氛围，提高团队整体销售能力。
销售数据分析与报告：收集和整理销售数据，包括销售额、销售量、客户数量、退货率等，运用数据分析工具和方法，深入分析销售数据背后的原因和趋势，如季节性销售波动、区域销售差异、产品畅销或滞销原因等，为营销决策提供依据，同时定期撰写销售分析报告，向上级领导汇报销售业绩、市场动态和营销活动效果，为公司高层决策提供参考。
岗位要求：
1. 教育背景
本科及以上学历，市场营销、食品科学与工程、工商管理、电子商务、国贸等相关专业优先，具备扎实的专业知识和理论基础，对食品行业的市场营销有一定的了解和认识。
2. 专业知识与技能
市场营销知识：系统学习过市场营销学、市场调研、营销策划、品牌管理、广告学等专业课程，掌握市场营销的基本理论、方法和技巧，能够运用相关知识进行市场分析和营销计划制定。
数据分析能力：熟练掌握数据分析工具和方法，如Excel、SPSS等，能够对市场和销售数据进行收集、整理、分析和解读，通过数据洞察市场和销售趋势，为营销决策提供数据支持。",本科,20,更新于 1月1日
,4000-8000元,唐山玉田县,杭萧钢构,"岗位职责：
1、负责公司的日常财务的账务管理、处理工作；
2、负责组织编制预算、财务收支计划、成本费用计划、财务报告和会计报表等；
3、负责完成每月国税、地税纳税申报；
4、负责财务凭证及电子档案的整理与归档；
5、完成做好领导交办的其他财务工作。
任职要求：
1、金融和财务相关专业大学本科及以上学历；
2、三年以上财务管理工作经验，具有资金管理管控经验，熟悉资金支付管控的各个流程及关键点及银行各项操作流程，具有较强的沟通与协调能力。
3、英语良好，适应到国外出差。",本科,1,更新于 11月17日
财务部副主任,6000-10000元,天津南开区,天津爱尔眼科医院有限责任公司,"岗位福利：五险一金、带薪年假、双休法假、宿舍、食堂、餐补、节日礼品、防暑降温补贴、年终奖等。
岗位职责：
1.在部门负责人的领导下，负责医院的全面核算工作。不断优化财务核算体系，指导财务人员开展工作，确保会计核算规范，报表及时完整，格式统一，数据无误；
2.负责医院收入保全工作。对医院价格、优免、退费、欠费进行监督管理，控制好收费环节、防止漏收少收；
3.审核费用报销的真实性。严防虚假报销，做好成本费用的管理和控制；
4.加强应收账的管理；
5.年度预算编制的协助；
6.部门负责人安排的其他工作、
任职要求：
1.财务相关毕业，具备5年及以上相关工作经验
2.中级职称及以上
3.年龄38岁及以下",本科,1,更新于 11月3日
